dataset,cluster_id,rank_by_current_heuristic,pipeline_selected,point_count,point_ratio_input,bbox_extent_xyz,bbox_volume_m3,centroid,density_points_per_m3,distance_to_global_center_m,distance_to_ground_plane_m,convex_hull_volume_m3,occupancy_ratio,count_ratio_to_main,plausible_woodpile,passes_min_component_ratio,discard_reasons
set1,28,28,False,48,0.001526,"[0.477299, 0.512717, 0.348733]",0.085342,"[7.435086, -4.690038, -1.531799]",562.443633,3.389768,23.619232,0.010394,0.416667,0.003919,True,False,['below_min_component_ratio']
set1,3,29,False,48,0.001526,"[0.536871, 0.29086, 0.217518]",0.033967,"[8.179213, -4.930918, -3.906276]",1413.156385,4.465648,21.367814,0.0081,0.833333,0.003919,True,False,['below_min_component_ratio']
set1,23,30,False,46,0.001462,"[0.156031, 0.517404, 0.713566]",0.057607,"[3.782108, -9.254349, 1.261175]",798.514119,8.268916,26.326009,0.003759,0.666667,0.003756,True,False,['below_min_component_ratio']
set1,52,31,False,46,0.001462,"[0.258842, 1.162685, 0.213255]",0.064179,"[10.409982, -0.625433, 0.413573]",716.740396,5.461989,25.676656,0.000518,0.6,0.003756,True,False,['below_min_component_ratio']
set1,4,32,False,42,0.001335,"[0.325904, 0.465371, 0.13466]",0.020423,"[8.07346, -5.618191, -3.940957]",2056.463,4.925456,21.369221,0.00506,0.75,0.003429,True,False,['below_min_component_ratio']
set1,12,33,False,42,0.001335,"[0.175586, 0.443131, 0.3539]",0.027536,"[10.473847, -6.066016, -1.640251]",1525.268415,6.430385,23.556803,0.008045,1.0,0.003429,True,False,['below_min_component_ratio']
set1,22,34,False,40,0.001271,"[0.629641, 0.270942, 0.374861]",0.06395,"[10.279235, -10.752286, 3.171435]",625.490051,11.262992,28.338241,0.010158,0.5,0.003266,True,False,['below_min_component_ratio']
set1,5,35,False,39,0.001239,"[0.230843, 0.313714, 0.477938]",0.034612,"[9.921105, -11.287581, 7.106558]",1126.791188,13.749481,32.158221,0.006276,0.75,0.003184,True,False,['below_min_component_ratio']
set1,30,36,False,39,0.001239,"[0.901231, 0.17573, 0.220987]",0.034999,"[0.660041, 4.162128, 3.997077]",1114.331402,9.790713,29.212756,0.009835,1.0,0.003184,True,False,['below_min_component_ratio']
set1,24,37,False,35,0.001112,"[0.215511, 0.258162, 0.254652]",0.014168,"[6.949263, -8.519322, -1.349891]",2470.357626,6.823734,23.895319,0.003295,0.75,0.002858,True,False,['below_min_component_ratio']
set1,36,38,False,35,0.001112,"[0.095427, 0.476718, 0.108026]",0.004914,"[1.12705, 1.171747, 0.771798]",7122.074655,6.053112,26.088185,0.001907,1.0,0.002858,True,False,['below_min_component_ratio']
set1,17,39,False,35,0.001112,"[0.332868, 0.39173, 0.247459]",0.032267,"[4.405171, -10.256291, -1.550209]",1084.690305,8.503336,23.712949,0.004717,1.0,0.002858,True,False,['below_min_component_ratio']
set1,55,40,False,33,0.001049,"[0.228569, 0.342235, 0.167176]",0.013077,"[16.31351, -4.499804, 5.900533]",2523.467704,13.506664,31.202406,0.002832,1.0,0.002695,True,False,['below_min_component_ratio']
set1,27,41,False,33,0.001049,"[0.138021, 0.31797, 0.422736]",0.018552,"[5.369878, -3.963871, 5.702606]",1778.749756,7.917452,30.846543,0.003086,0.75,0.002695,True,False,['below_min_component_ratio']
set1,50,42,False,31,0.000985,"[0.286189, 0.224416, 0.300908]",0.019326,"[8.779839, 3.398515, -1.650045]",1604.059839,6.128248,23.567512,0.000594,0.75,0.002531,True,False,['below_min_component_ratio']
set1,37,43,False,28,0.00089,"[0.231221, 0.268377, 0.599526]",0.037203,"[2.766831, -9.450824, -2.916941]",752.624011,8.18229,22.11605,0.000899,0.833333,0.002286,True,False,['below_min_component_ratio']
set1,43,44,False,28,0.00089,"[0.216143, 0.179311, 0.299363]",0.011602,"[9.55723, 3.251912, -2.790905]",2413.305108,6.497935,22.386932,0.000889,1.0,0.002286,True,False,['below_min_component_ratio']
set1,26,45,False,28,0.00089,"[0.161845, 0.279366, 0.228982]",0.010353,"[5.898256, -5.5495, -1.497413]",2704.474199,3.734275,23.767677,0.002158,1.0,0.002286,True,False,['below_min_component_ratio']
set1,49,46,False,27,0.000858,"[0.174402, 0.306074, 0.094497]",0.005044,"[9.936536, -5.463224, 2.05185]",5352.645996,6.886891,27.360491,0.001608,1.0,0.002205,True,False,['below_min_component_ratio']
set1,48,47,False,24,0.000763,"[0.197894, 0.197662, 0.069691]",0.002726,"[7.662933, -9.157556, -2.477024]",8803.928901,7.606549,22.855817,0.000943,1.0,0.00196,True,False,['below_min_component_ratio']
set1,53,48,False,24,0.000763,"[0.19205, 0.201914, 0.295745]",0.011468,"[5.777152, 4.710222, -0.309763]",2092.721188,6.75681,24.904596,0.000281,1.0,0.00196,True,False,['below_min_component_ratio']
set1,44,49,False,24,0.000763,"[0.329784, 0.179705, 0.332144]",0.019684,"[-3.203628, 9.237275, -23.374499]",1219.260774,25.711223,1.823485,0.001549,1.0,0.00196,True,False,['below_min_component_ratio']
set1,51,50,False,24,0.000763,"[0.168932, 0.201716, 0.24341]",0.008295,"[6.89207, -10.215801, 0.994578]",2893.476748,8.950281,26.239586,0.00126,1.0,0.00196,True,False,['below_min_component_ratio']
set1,15,51,False,24,0.000763,"[0.254758, 0.121627, 0.261289]",0.008096,"[1.398833, 1.110877, -2.199314]",2964.359884,5.168996,22.996347,0.001064,0.75,0.00196,True,False,['below_min_component_ratio']
set1,42,52,False,24,0.000763,"[0.201975, 0.233932, 0.180242]",0.008516,"[9.28546, -9.125717, -1.209633]",2818.174837,8.175327,24.058278,0.000777,1.0,0.00196,True,False,['below_min_component_ratio']
set1,57,53,False,22,0.000699,"[0.326717, 0.219264, 0.081185]",0.005816,"[8.796479, 0.040214, -4.784052]",3782.755231,4.669216,20.526567,0.001174,1.0,0.001796,True,False,['below_min_component_ratio']
set1,54,54,False,22,0.000699,"[0.260617, 0.160743, 0.153323]",0.006423,"[8.95302, 0.123439, -0.541784]",3425.16275,4.106284,24.730129,0.000549,1.0,0.001796,True,False,['below_min_component_ratio']
set1,21,55,False,22,0.000699,"[0.235848, 0.20891, 0.180494]",0.008893,"[9.500821, -11.757012, 6.475238]",2473.830115,13.553394,31.737465,0.00194,1.0,0.001796,True,False,['below_min_component_ratio']
set1,45,56,False,21,0.000667,"[0.300416, 0.212215, 0.151366]",0.00965,"[6.25082, 4.601286, -0.909516]",2176.155722,6.559598,24.3704,0.000163,1.0,0.001715,True,False,['below_min_component_ratio']
set1,33,57,False,21,0.000667,"[0.346657, 0.098225, 0.084037]",0.002861,"[-0.298384, -6.232148, -1.780534]",7338.88047,7.371555,23.531143,0.000922,1.0,0.001715,True,False,['below_min_component_ratio']
set1,38,58,False,20,0.000636,"[0.120338, 0.248449, 0.218125]",0.006521,"[5.001651, -5.909955, -0.654525]",3066.792979,4.299728,24.611429,0.001016,1.0,0.001633,True,False,['below_min_component_ratio']
set1,59,59,False,20,0.000636,"[0.110752, 0.443322, 0.151513]",0.007439,"[9.563229, -5.380473, -2.980326]",2688.490068,5.392485,22.270942,0.001718,1.0,0.001633,True,False,['below_min_component_ratio']
set1,58,60,False,20,0.000636,"[0.635122, 0.107206, 0.029607]",0.002016,"[11.759385, 0.595177, 0.735754]",9921.235687,7.116854,26.087901,0.000493,1.0,0.001633,False,False,"['below_min_component_ratio', 'axis_ratio_exceeds_max_component_axis_ratio', 'not_plausible_woodpile']"
set2,4,1,True,2609,0.62119,"[5.587158, 4.773677, 1.677443]",44.739571,"[4.535162, -7.556376, -6.443642]",58.315266,2.427947,0.0,7.521986,0.085714,1.0,True,True,[]
set2,8,2,True,669,0.159286,"[1.478958, 1.249594, 1.75021]",3.234557,"[0.084897, 0.003074, -1.144911]",206.828934,8.116583,4.986623,0.95863,0.2625,0.25642,True,True,[]
set2,7,3,False,276,0.065714,"[1.620851, 2.059441, 0.122443]",0.408722,"[10.256769, -5.685756, -6.671085]",675.275848,5.948137,0.641355,0.110282,0.396825,0.105788,False,True,"['axis_ratio_exceeds_max_component_axis_ratio', 'not_plausible_woodpile']"
set2,2,4,False,61,0.014524,"[0.509171, 1.092576, 0.175358]",0.097553,"[3.663998, -4.342705, -5.778475]",625.299113,1.501891,1.495261,0.021171,0.6,0.023381,True,False,['below_min_component_ratio']
set2,6,5,False,55,0.013095,"[1.282664, 0.099251, 0.060406]",0.00769,"[10.220678, -4.470693, -6.618128]",7152.100176,5.978809,0.720984,0.001354,1.0,0.021081,False,False,"['below_min_component_ratio', 'axis_ratio_exceeds_max_component_axis_ratio', 'not_plausible_woodpile']"
set2,1,6,False,50,0.011905,"[0.157358, 1.256088, 0.104768]",0.020708,"[10.566389, 1.132621, -0.38423]",2414.529401,10.184163,6.945306,0.003155,1.0,0.019164,False,False,"['below_min_component_ratio', 'axis_ratio_exceeds_max_component_axis_ratio', 'not_plausible_woodpile']"
set2,10,7,False,38,0.009048,"[0.113434, 0.76614, 0.034425]",0.002992,"[8.163775, 1.144118, 0.20792]",12701.378628,9.302353,7.561217,0.000971,1.0,0.014565,False,False,"['below_min_component_ratio', 'axis_ratio_exceeds_max_component_axis_ratio', 'not_plausible_woodpile']"
set2,0,8,False,31,0.007381,"[0.13565, 0.503334, 0.039234]",0.002679,"[9.393793, 0.919736, -0.085959]",11572.449659,9.542513,7.267113,0.000873,1.0,0.011882,False,False,"['below_min_component_ratio', 'axis_ratio_exceeds_max_component_axis_ratio', 'not_plausible_woodpile']"
set2,3,9,False,31,0.007381,"[0.212496, 0.693801, 0.208659]",0.030763,"[2.6934, -4.72597, -5.562845]",1007.717568,1.975207,1.658457,0.002334,1.0,0.011882,True,False,['below_min_component_ratio']
set2,9,10,False,21,0.005,"[0.287933, 0.284653, 0.017954]",0.001472,"[10.888285, -6.94465, -6.712672]",14270.654311,6.732763,0.650611,0.000227,1.0,0.008049,False,False,"['below_min_component_ratio', 'axis_ratio_exceeds_max_component_axis_ratio', 'not_plausible_woodpile']"
set2,5,11,False,17,0.004048,"[0.278663, 0.276523, 0.327221]",0.025215,"[3.358942, -6.752611, -5.984453]",674.213053,1.882354,1.144019,0.002318,0.5,0.006516,False,False,"['below_min_component_ratio', 'not_plausible_woodpile']"
