trunk_id,layer_id,slot_y,point_count,length_m,diameter_p90_m,diameter_p95_m,orientation_angle_to_x_deg,orientation_angle_to_horizontal_deg,center_x,center_y,center_z,status,length_error_percent_vs_6m,diameter_error_percent_vs_1_26m
5,0,1,48443,6.7143102357363205,1.1256455047891152,1.245497558704339,13.299045106593377,0.2958054165523741,2.975207372421865,-0.1830661600468755,0.16444758429880837,ok,11.905170595605341,-10.663055175467049
3,0,0,63833,4.763983816731326,1.12892392347161,1.2123841357480456,17.95111540688416,0.4657451446120551,3.7154812486980675,-1.4474030638631241,0.38803496958625966,ok,-20.60026972114457,-10.402863216538892
4,1,1,47803,4.849385319078858,1.1767275397682806,1.3137464137457926,20.6936843682937,1.6303331679997028,3.2955947032298587,-0.8821430761226767,1.1111686041614024,ok,-19.176911348685696,-6.608925415215825
7,1,3,36502,6.304015513815106,1.0976422344579715,1.202067661570978,14.53075031009451,0.625535330872704,5.247554819685688,0.5233109771353299,1.4993930158787407,ok,5.066925230251762,-12.885536947780041
2,1,2,51687,5.753249565963688,0.9960753854691472,1.0686327343664657,13.710899928671036,0.14717376491307813,3.6112426428467077,-0.19997734421862157,1.6522216718466751,ok,-4.112507233938537,-20.946397978639112
8,1,4,35688,6.278363264822135,1.3850909687043234,1.479349955526327,15.856290284033895,0.16967835298651265,5.495209235341565,1.4779957365794387,1.6751862963718631,ok,4.639387747035576,9.927854659073281
0,1,0,59686,3.5347190898792604,1.047734437195438,1.1208732198492755,19.219651536763585,1.3493564479026534,4.068212132626143,-1.4438055696101821,1.8405284501039356,incomplete_length,-41.08801516867899,-16.846473238457303
1,2,0,63931,5.289192280129354,1.3330594477437414,1.4429354543580941,15.439988475268875,1.4381438777611546,3.9562235091919664,-0.6363790760487702,2.455734286821691,ok,-11.846795331177429,5.798368868550905
6,2,1,55924,6.316656426340385,1.3148343764146597,1.4306091408236212,12.736278349382355,2.435164251861616,5.782872004232774,0.5702891406510802,2.4916254729869194,ok,5.277607105673088,4.3519346360841045
