region_id,raw_contact_points,raw_contact_components_eps035,raw_contact_largest_component_points,endpoint_distance_m,local_density_neighbors_median_r020,local_density_neighbors_p05_r020,kdist20_median_m,curvature_median,normal_consistency_median_absdot,thickness_p05_p95_m,planarity_ratio,aabb_volume_m3,convex_hull_volume_m3,raw_connected_previous_audit,minimum_vertex_cut_previous_audit,minimum_edge_cut_previous_audit
0,4621,1,4621,0.19212494568118946,752.0,249.0,0.03159852321721835,0.03043596890837807,0.8376722126738322,0.22635008823324243,0.06016002946783901,0.4245424255908675,0.115812659156829,True,0,119
1,801,1,801,0.24688238071802532,168.0,66.0,0.053690172598345146,0.024663969121564606,0.67130349619847,0.2749396434419305,0.1300685682656795,0.2154205481558484,0.0957235063021002,True,0,61
2,3420,1,3420,0.33888347505595495,516.0,232.95000000000002,0.039510761914679046,0.043004499524292514,0.7108508081885772,0.2376449758380584,0.10287709201417933,0.4916686341366736,0.1407103915815552,True,0,68
3,1698,1,1698,1.1795078535685972,188.0,64.0,0.04791545610391712,0.05000183242711291,0.6421510461371838,0.36376467957068426,0.032004073507811384,1.028878288312205,0.35424653857690436,False,1,2
4,9130,1,9130,0.2982483155660732,1523.0,576.0,0.02171874679104348,0.08585385347290285,0.6659297207133962,0.32508475959754696,0.27358856321724684,0.4840978989992234,0.15124889948957151,True,0,72
5,7012,1,7012,0.3005533604669892,776.0,362.55,0.029158872077652352,0.014350543551354697,0.6680454039972861,0.30967657368259727,0.11762597278020395,0.8056107376712157,0.23353629927612043,True,0,171
6,5337,1,5337,0.348091652979499,759.0,337.0,0.031011933455259356,0.013918036522502187,0.7109829441482926,0.2017934264132186,0.08258781566698853,0.5868084805723687,0.15496168840107263,True,0,91
7,2918,1,2918,0.10477163136555635,866.5,258.0,0.027616518963858288,0.014411134835826529,0.5808292693361186,0.27957389937775345,0.3396181148064809,0.20547785607594818,0.06908655230701127,True,0,44
