dataset,session_id,state,images,volume_m3,volume_method,confidence_score,confidence_level,fail_gates,error_percentage,total_seconds,backend_memory
set1,b3c14c84-b660-407f-817f-1fc185ce3e9c,COMPLETED,18,69.8281,point_density_integration,100.0,HIGH,0,41.6836,292.533,453.8MiB/7.616GiB
set2,723f91e2-b1b5-43f7-b336-6816d8300509,COMPLETED,28,39.0156,point_density_integration,25.0,CRITICAL,5,67.4164,335.804,436MiB/7.616GiB
