stage,point_count,pct_conserved,aabb_x,aabb_y,aabb_z,obb_x,obb_y,obb_z,hull_volume,component_count,largest_component_count,density_median
01_nodeodm_point_cloud_scaled,746225,,17.02157382805252,20.457759889213943,10.308396209909361,16.660634465938013,19.918583660768288,9.95938247832911,1184.0698206292352,47,47938,895.2465548919112
02_after_clean_point_cloud,737554,98.8380180240544,12.662127062196406,16.49144369206352,8.719260185721016,12.374934499264327,17.14301871152827,8.680262952422272,656.0420279238,40,45511,895.2465548919112
03_after_segmentation_voxelization,48483,6.5734847889103705,12.649464556631651,16.47917367294908,8.682880101959793,11.84281739089673,17.024633730675966,8.606903200968091,659.3065673728798,40,45511,507.30638110541634
04_immediately_before_segment,737554,1521.2631231565704,12.662127062196406,16.49144369206352,8.719260185721016,12.374934499264327,17.14301871152827,8.680262952422272,657.8518020713385,40,45511,895.2465548919112
05_after_segment_woodpile_components,45511,6.170531242458179,11.131181867646559,10.588555157864398,4.321768162108459,10.847062580624097,10.900515858994453,4.7734792142275895,211.06457328695413,1,45511,566.989484764877
06_pdi_input,45511,100.0,11.131181867646559,10.588555157864398,4.321768162108459,10.847062580624097,10.900515858994453,4.7734792142275895,211.06457328695413,1,45511,537.1479329351467
