bbox_extent_m,bbox_max,bbox_min,bbox_volume_m3,centroid,classification,cluster_id,density_points_per_m3,distance_to_aruco_center_m,distance_to_main_centroid_m,point_count,point_percent_total,rank,selected_by_pipeline,source
"[0.213167, 0.595835, 0.216594]","[-3.056703, 2.553276, -0.162751]","[-3.26987, 1.957441, -0.379345]",0.02751,"[-3.174989, 2.146146, -0.261187]",suelo / plano bajo,52,472.552083,4.035289,10.740413,13,0.014444,78,False,diagnostic_rederived
"[0.268656, 0.062347, 0.113154]","[1.68101, -6.796343, 0.584431]","[1.412354, -6.85869, 0.471277]",0.001895,"[1.552751, -6.829166, 0.529667]",suelo / plano bajo,36,6859.018454,7.423308,11.350335,13,0.014444,79,False,diagnostic_rederived
"[0.372108, 0.211781, 0.088408]","[4.13039, -0.893915, 9.244486]","[3.758283, -1.105696, 9.156077]",0.006967,"[3.92912, -0.986474, 9.197719]",suelo / plano bajo,92,1722.38819,9.928067,8.502277,12,0.013333,80,False,diagnostic_rederived
"[0.226687, 0.320146, 0.194015]","[-4.195832, 11.955821, -0.648031]","[-4.422519, 11.635675, -0.842047]",0.01408,"[-4.297877, 11.768172, -0.736684]",suelo / plano bajo,94,852.2581,12.269231,14.899799,12,0.013333,81,False,diagnostic_rederived
"[0.360817, 0.156925, 0.189616]","[-1.181783, -0.968521, -0.87822]","[-1.5426, -1.125446, -1.067836]",0.010736,"[-1.377193, -1.031817, -0.962825]",suelo / plano bajo,28,1117.704616,2.607173,9.992479,12,0.013333,82,False,diagnostic_rederived
"[0.341538, 0.185242, 0.072306]","[8.428469, -5.072181, 1.141534]","[8.08693, -5.257423, 1.069228]",0.004575,"[8.242364, -5.182736, 1.107665]",suelo / plano bajo,4,2404.587081,9.66771,8.177783,11,0.012222,83,False,diagnostic_rederived
"[0.309723, 0.159991, 0.105393]","[14.452914, 3.79082, 7.008129]","[14.143191, 3.630829, 6.902736]",0.005223,"[14.260888, 3.696387, 6.948433]",suelo / plano bajo,44,2106.264467,15.743559,8.452384,11,0.012222,84,False,diagnostic_rederived
"[0.356091, 0.648594, 0.24887]","[15.15787, 14.572675, 2.031597]","[14.80178, 13.924081, 1.782727]",0.057479,"[15.04054, 14.290656, 1.932616]",suelo / plano bajo,33,191.375339,20.133169,13.877209,11,0.012222,85,False,diagnostic_rederived
"[0.476861, 0.739035, 0.259738]","[8.560151, -9.532308, -0.114311]","[8.08329, -10.271342, -0.374049]",0.091536,"[8.218679, -9.851744, -0.266802]",suelo / plano bajo,86,120.171356,12.915409,12.992566,11,0.012222,86,False,diagnostic_rederived
"[0.187531, 0.132113, 0.170675]","[10.866384, 15.654787, 3.849502]","[10.678853, 15.522674, 3.678828]",0.004229,"[10.765575, 15.582139, 3.74706]",suelo / plano bajo,66,2601.38648,18.625075,13.304589,11,0.012222,87,False,diagnostic_rederived
"[0.665236, 0.52858, 0.104622]","[6.134408, -2.953525, 1.284077]","[5.469173, -3.482105, 1.179455]",0.036788,"[5.902716, -3.31909, 1.236588]",suelo / plano bajo,96,299.009246,6.73082,6.391417,11,0.012222,88,False,diagnostic_rederived
"[0.16235, 0.248143, 0.088821]","[13.133646, 5.710207, 7.843516]","[12.971296, 5.462065, 7.754694]",0.003578,"[13.043247, 5.604242, 7.808502]",suelo / plano bajo,41,3074.128282,15.631988,8.446969,11,0.012222,89,False,diagnostic_rederived
"[0.196161, 0.191955, 0.203926]","[10.791527, -4.571961, 1.660232]","[10.595366, -4.763916, 1.456306]",0.007679,"[10.714116, -4.658575, 1.596993]",suelo / plano bajo,6,1432.544372,11.553763,8.302521,11,0.012222,90,False,diagnostic_rederived
"[0.20559, 0.713269, 0.04871]","[11.891564, 3.209657, 6.525277]","[11.685974, 2.496388, 6.476567]",0.007143,"[11.809624, 2.915647, 6.500511]",suelo / plano bajo,9,1539.996444,13.266483,6.187067,11,0.012222,91,False,diagnostic_rederived
"[0.150393, 0.251911, 0.097733]","[0.107614, 9.154594, -0.483028]","[-0.042779, 8.902683, -0.580761]",0.003703,"[0.031613, 9.041589, -0.540426]",suelo / plano bajo,84,2700.738675,8.571475,9.927863,10,0.011111,92,False,diagnostic_rederived
"[0.12234, 0.095288, 0.565321]","[10.106339, -6.205707, -1.620421]","[9.983999, -6.300995, -2.185742]",0.00659,"[10.052684, -6.261175, -1.955098]",suelo / plano bajo,85,1517.386899,11.865483,10.455478,10,0.011111,93,False,diagnostic_rederived
"[0.509003, 0.316364, 0.25518]","[13.732831, 11.429987, 3.27434]","[13.223828, 11.113623, 3.019161]",0.041092,"[13.429601, 11.286282, 3.163437]",suelo / plano bajo,73,243.358459,17.132595,10.518888,10,0.011111,94,False,diagnostic_rederived
"[0.429544, 0.305028, 0.197857]","[-2.972665, 9.961376, -0.575614]","[-3.402209, 9.656348, -0.77347]",0.025924,"[-3.146414, 9.796164, -0.65276]",suelo / plano bajo,95,385.746224,10.007052,12.843271,10,0.011111,95,False,diagnostic_rederived
"[0.071883, 0.378043, 0.259043]","[3.021326, 11.705656, 1.191469]","[2.949443, 11.327613, 0.932427]",0.007039,"[2.987841, 11.549994, 1.072748]",suelo / plano bajo,56,1420.561569,11.377281,9.77248,10,0.011111,96,False,diagnostic_rederived
"[0.294625, 0.214153, 0.128521]","[8.860544, -4.540933, 1.329232]","[8.565919, -4.755086, 1.20071]",0.008109,"[8.686185, -4.661962, 1.270421]",suelo / plano bajo,8,1233.191301,9.760812,7.715092,10,0.011111,97,False,diagnostic_rederived
