component_id,selected,point_count,point_ratio_to_largest,bbox_volume_m3,extent_x,extent_y,extent_z,obb_x,obb_y,obb_z,axis_ratio,convex_hull_volume_m3
0,True,45511,1.0,509.37713645414635,11.131181867646559,10.588555157864398,4.321768162108459,10.847062580624097,10.900515858994453,4.7734792142275895,2.5756082811753593,211.06457328695413
4,False,304,0.006679703807870625,2.6971352123182357,2.4465123404420117,2.103548045814669,0.5240863787561739,2.271884592782527,2.056097264366276,0.5774339787814295,4.66814715972656,0.6840472119195985
23,False,168,0.0036914152622442927,0.29421066400662454,1.5269548375159836,1.3083789197999383,0.14726470769485456,1.7098412666540743,0.9514671180028295,0.0874897001113713,10.368776480241067,0.051230310996632514
19,False,111,0.0024389707982685506,0.19896118374707816,0.9263263540686033,0.822630563265085,0.26109556527541156,1.2054070716594059,0.5192544380744345,0.16846648786408314,3.5478440742242636,0.03739530389574506
10,False,96,0.0021093801498538816,0.2502167890101093,0.9807566922495701,0.48003539961954944,0.5314738504510736,1.0961141611844312,0.5196214345912227,0.099059317804577,2.043092432405747,0.022077754316208266
8,False,95,0.0020874074399595704,0.13427023968328,0.6168349986078834,1.0090336550412369,0.21572729861008355,1.0529753266329,0.4521217419462054,0.09038307724146538,4.677357300361951,0.01686893252642966
3,False,94,0.002065434730065259,0.24967531199214904,0.8835594566537597,1.0688646624314115,0.2643730020427175,1.3751480024442713,0.3186864128886611,0.24931773421231335,4.0430174570499595,0.029536840051535663
21,False,91,0.0019995166003823252,0.08222630842356585,1.0545536113483047,0.9617954539174771,0.08106985750156426,1.4037272302684178,0.22593681205306276,0.038785561262593894,13.007961822653469,0.0046846572067125855
13,False,88,0.0019335984706993913,0.16193099189128293,0.7219396600442494,1.0490762396779445,0.21380705158834754,1.2620460756215768,0.24768814042854836,0.2330385155455224,4.906649391984408,0.024805752104421333
15,False,87,0.00191162576080508,0.16262285516702893,0.9145637718631696,0.8646299162864115,0.20565407987692144,1.2321609082448182,0.18462953906196516,0.18993006962146763,4.447097633125061,0.014345047155477655
24,False,83,0.001823734921227835,0.5387872732871222,0.5299718081215676,1.0251453384061433,0.9916972743728254,1.0926838778648325,0.731904905468113,0.11054507399057376,1.9343393793712707,0.038114120388001944
20,False,69,0.0015161169827074773,0.1672141848731707,0.44462290800309656,0.9489160318017618,0.39632685159062,1.098808890116966,0.17006957077081292,0.08583490558919322,2.394276410980931,0.006919544832474523
18,False,68,0.0014941442728131661,0.022760265113482215,1.6630849296075665,0.1644170669384004,0.0832369181054986,1.664582748588473,0.1343379197240484,0.05788244164633735,19.980135827466487,0.005053514847093347
17,False,67,0.0014721715629188547,0.048724282671028345,0.39342402645668995,0.3842153816901397,0.3223367537458166,0.4463979638823927,0.36914318018987774,0.0894732841470636,1.2205372855710095,0.006350724936309091
12,False,63,0.0013842807233416098,0.17423336559485547,0.6360505418331304,1.083178404393844,0.2528946873673583,1.2435163316210462,0.15069389684441353,0.08643874652402629,4.283120439064044,0.007167140248521786
32,False,48,0.0010546900749269408,0.10448751727199701,0.5917034790624163,0.8180247543879897,0.21587077021955964,0.9996201456647638,0.15471948959306409,0.058875355913584705,3.789418796977406,0.0040975057979808875
9,False,46,0.0010107446551383182,0.025603673024172567,0.33514361657740577,0.34886790406299584,0.21898295119020214,0.45280408357678903,0.2246521996686474,0.12836542683682473,1.5931281506932449,0.004779845276325125
29,False,46,0.0010107446551383182,0.05462547421844714,0.6886871621761328,0.6191730689331059,0.1281035527829506,0.9181293944159699,0.11610023716678489,0.030155862686379674,5.3760192220663425,0.001163749895493202
30,False,45,0.000988771945244007,0.014345756367505486,0.34997333465057334,0.2826987598275048,0.14499886143876461,0.39865117239185466,0.315231243138681,0.12190183475646166,2.413628156648477,0.004412465023084283
1,False,42,0.0009228538155610732,0.024319984581883385,0.35303872361680977,0.32677229967489074,0.21081218834492688,0.4895546659370745,0.20547052885715816,0.025317763243675587,1.6746599254459356,0.0008435143904421969
14,False,42,0.0009228538155610732,0.0565879978071743,0.44433726445518573,0.40855073948513,0.3117206621796418,0.599945217054831,0.29350639053290767,0.11705327556874646,1.4254341093344598,0.0062846781848679345
34,False,41,0.0009008811056667619,0.029709170423806316,0.3559989078816601,0.40975382295146945,0.20366614598293298,0.5507999739183811,0.18105904724721184,0.04934625614921019,2.011889707903671,0.0016932220191429035
5,False,39,0.0008569356858781393,0.013842749123256169,0.4184368007216017,0.20924264617555588,0.158103786625843,0.40873148465869247,0.19840789531045372,0.16102905545346338,2.646595692940891,0.004314143201455578
11,False,38,0.0008349629759838281,0.00930968509832398,0.11085924575882622,0.45640351456260664,0.183998419087523,0.4712872889407057,0.1824786687187943,0.10050833014364076,4.116963916167267,0.002787640018419515
25,False,35,0.0007690448463008943,0.015195924848950259,0.23086849681554078,0.4625706974882817,0.14229326473903658,0.4962543355150841,0.16456904971520697,0.1247071447225854,3.250826371414195,0.0034180321734958723
36,False,34,0.0007470721364065831,0.0067132861797412164,0.2826893380297584,0.10807892321621626,0.2197276561125058,0.30863209992575913,0.18246775662535458,0.09176802258038147,2.6155824800754806,0.0018713558588540952
